code,title,tower,floor,main_category,sub_category,trade_type,slab_works,cost_plan_total,start_date_plan,end_date_plan,start_date_actual,end_date_actual,start_date_sprint,end_date_sprint,progress
1,BL Saha,,,,,,,,2024-06-24,2028-08-31,,,2024-06-24,,
1.1,BL Saha,,,,,,,,2024-06-24,2028-08-31,,,2024-06-24,,
1.1.1,Pre Construction,,,,,,,,2025-02-04,2026-03-29,,,2025-04-01,,
1.1.1.1,Statutory Approval,,,Finishing,Miscellaneous,Misc,,0.0,2025-02-04,2025-07-21,2025-02-04,2025-07-21,2025-04-01,,100
1.1.1.2,Tree Noc,,,Finishing,Miscellaneous,Misc,,0.0,2025-02-04,2025-07-21,2025-02-04,2025-07-21,2025-04-01,,100
1.1.1.3,Drawing,,,,,,,,2025-11-30,2025-12-29,,,2025-04-01,,
1.1.1.3.1,Pilling,,,Civil Works- RCC,NTA RCC,NTA RCC,,0.0,2025-11-30,2025-12-14,,,2025-04-01,,0
1.1.1.3.2,Aluform,,,Civil Works- RCC,RCC,Shuttering- AL,,0.0,2025-11-30,2025-12-29,,,2025-04-01,,0
1.1.1.3.3,Core & Shell ,,,Civil Works- RCC,NTA RCC,NTA RCC,,0.0,2025-11-30,2025-12-09,,,2025-04-01,,0
1.1.1.3.4,Boundary Wall,,,Infra,Ext Infra,Ext Infra,,0.0,2025-11-30,2025-12-09,,,2025-04-11,,0
1.1.1.3.5,External Services,,,MEP,Ext MEP,Ext PHE,,0.0,2025-11-30,2025-12-09,,,2025-04-11,,0
1.1.1.3.6,Area Development,,,Infra,Ext Infra,Ext Infra,,0.0,2025-11-30,2025-12-09,,,2025-04-11,,0
1.1.1.4,BOQ,,,,,,,,2025-11-30,2025-12-19,,,2025-04-01,,
1.1.1.4.1,Pilling,,,Civil Works- RCC,NTA RCC,NTA RCC,,0.0,2025-11-30,2025-12-19,,,2025-04-01,,0
1.1.1.4.2,Aluform,,,Civil Works- RCC,RCC,Shuttering- AL,,0.0,2025-11-30,2025-12-19,,,2025-04-01,,0
1.1.1.4.3,Core & Shell ,,,Civil Works- RCC,NTA RCC,NTA RCC,,0.0,2025-11-30,2025-12-19,,,2025-04-01,,0
1.1.1.4.4,Boundary Wall,,,Infra,Ext Infra,Ext Infra,,0.0,2025-12-10,2025-12-19,,,2025-04-21,,0
1.1.1.4.5,External Services,,,MEP,Ext MEP,Ext PHE,,0.0,2025-12-10,2025-12-19,,,2025-04-21,,0
1.1.1.4.6,Area Development,,,Infra,Ext Infra,Ext Infra,,0.0,2025-12-10,2025-12-19,,,2025-04-21,,0
1.1.1.5,Contract,,,,,,,,2025-11-30,2026-03-29,,,,,
1.1.1.5.1,Pilling,,,Civil Works- RCC,NTA RCC,NTA RCC,,0.0,2025-11-30,2026-03-29,,,,,0
1.1.1.5.2,Aluform,,,Civil Works- RCC,RCC,Shuttering- AL,,0.0,2025-11-30,2026-03-29,,,,,0
1.1.1.5.3,Core & Shell ,,,Civil Works- RCC,NTA RCC,NTA RCC,,0.0,2025-11-30,2026-03-29,,,,,0
1.1.1.5.4,Boundary Wall,,,Infra,Ext Infra,Ext Infra,,0.0,2025-12-20,2025-12-29,,,,,0
1.1.1.5.5,External Services,,,MEP,Ext MEP,Ext PHE,,0.0,2025-12-20,2025-12-29,,,,,0
1.1.1.5.6,Area Development,,,Infra,Ext Infra,Ext Infra,,0.0,2025-12-20,2025-12-29,,,,,0
1.1.2,Construction,,,,,,,,2024-06-24,2027-11-28,,,2024-06-24,,
1.1.2.1,Tower-1,,,,,,,,2025-03-07,2027-11-11,,,2025-03-08,,
1.1.2.1.1,Pilling- Non Effected of Tree Noc Zone,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,3114000000.0,2025-03-07,2025-07-30,2025-03-07,2025-07-30,2025-03-08,,100
1.1.2.1.2,Pilling-Effected of Tree Noc Zone,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,179686000.0,2025-08-04,2025-08-21,2025-08-04,2025-08-21,2025-07-20,,100
1.1.2.1.3,SPT Test,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,14800000.0,2025-06-06,2025-08-22,2025-06-06,2025-08-22,2025-08-26,,100
1.1.2.1.4,Dynamic,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,18000000.0,2025-09-14,2025-09-20,2025-09-14,2025-09-20,2025-09-21,,100
1.1.2.1.5,Static Load Test,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,165000000.0,2025-09-11,2025-10-31,2025-09-11,2025-10-31,2025-10-13,,100
1.1.2.1.6,Excavation,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,21791500.0,2025-11-23,2025-12-08,2025-11-23,,2025-11-07,,46
1.1.2.1.7,PCC,Tower 1,,Civil Works- RCC,RCC,Concreting,,122139300.0,2025-11-21,2025-12-10,2025-11-21,,2025-12-02,,56
1.1.2.1.8,Pile Head Breaing,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,32552600.0,2025-11-18,2025-12-15,2025-11-18,,2025-12-27,,60
1.1.2.1.9,PIT,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,12810000.0,2025-11-17,2025-12-15,2025-11-17,,2026-01-17,,72
1.1.2.1.10,Raft-reinforcement,Tower 1,,Civil Works- RCC,RCC,Reinforcement,,983514600.0,2025-11-24,2025-12-13,2025-11-24,,2026-02-01,,30
1.1.2.1.11,Raft-Shuttering,Tower 1,,Civil Works- RCC,RCC,Shuttering- Conventional,,37976000.0,2025-11-30,2025-12-17,,,2026-02-10,,0
1.1.2.1.12,Raft-concreting,Tower 1,,Civil Works- RCC,RCC,Concreting,,1249424400.0,2025-12-07,2025-12-24,,,2026-02-22,,0
1.1.2.1.13,up to PL,Tower 1,,Civil Works- RCC,NTA RCC,NTA RCC,,398547600.0,2025-12-14,2026-01-04,,,2026-03-03,,0
1.1.2.1.14,1st Floor Slab RCC,Tower 1,1st Floor,Civil Works- RCC,NTA RCC,NTA RCC,,457050000.0,2026-01-05,2026-01-29,,,2026-03-12,,0
1.1.2.1.15,2nd Floor Slab RCC,Tower 1,2nd Floor,Civil Works- RCC,NTA RCC,NTA RCC,,457050000.0,2026-01-30,2026-02-23,,,2026-03-21,,0
1.1.2.1.16,3rd Floor Slab RCC,Tower 1,3rd Floor,Civil Works- RCC,NTA RCC,NTA RCC,,457050000.0,2026-02-24,2026-03-20,,,2026-04-02,,0
1.1.2.1.17,4th Floor Slab RCC,Tower 1,4th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-03-21,2026-04-10,,,2026-04-11,,0
1.1.2.1.18,5th Floor Slab RCC,Tower 1,5th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-04-11,2026-04-25,,,2026-04-20,,0
1.1.2.1.19,6th Floor Slab RCC,Tower 1,6th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-04-26,2026-05-04,,,2026-04-29,,0
1.1.2.1.20,7th Floor Slab RCC,Tower 1,7th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-05-05,2026-05-16,,,2026-05-11,,0
1.1.2.1.21,8th Floor Slab RCC,Tower 1,8th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-05-17,2026-05-25,,,2026-05-20,,0
1.1.2.1.22,9th Floor Slab RCC,Tower 1,9th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-05-26,2026-06-03,,,2026-05-29,,0
1.1.2.1.23,10th Floor Slab RCC,Tower 1,10th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-06-04,2026-06-12,,,2026-06-07,,0
1.1.2.1.24,11th Floor Slab RCC,Tower 1,11th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-06-13,2026-06-24,,,2026-06-19,,0
1.1.2.1.25,12th Floor Slab RCC,Tower 1,12th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-06-25,2026-07-03,,,2026-06-28,,0
1.1.2.1.26,13th Floor Slab RCC,Tower 1,13th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-07-04,2026-07-12,,,2026-07-07,,0
1.1.2.1.27,14th Floor Slab RCC,Tower 1,14th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-07-13,2026-07-21,,,2026-07-19,,0
1.1.2.1.28,15th Floor Slab RCC,Tower 1,15th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-07-22,2026-08-02,,,2026-02-01,,0
1.1.2.1.29,16th Floor Slab RCC,Tower 1,16th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-08-03,2026-08-11,,,2026-10-04,,0
1.1.2.1.30,17th Floor Slab RCC,Tower 1,17th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-08-12,2026-08-20,,,2025-12-21,,0
1.1.2.1.31,18th Floor Slab RCC,Tower 1,18th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-08-21,2026-08-29,,,2026-12-01,,0
1.1.2.1.32,19th Floor Slab RCC,Tower 1,19th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-08-30,2026-09-10,,,,,0
1.1.2.1.33,20th Floor Slab RCC,Tower 1,20th Floor,Civil Works- RCC,NTA RCC,NTA RCC,,548817800.0,2026-09-11,2026-09-19,,,,,0
