code,title,tower,floor,main_category,sub_category,trade_type,slab_works,cost_plan_total,start_date_plan,end_date_plan,start_date_actual,end_date_actual,start_date_sprint,end_date_sprint,progress
1,Riverine,,,,,,,,2022-04-30,2031-04-19,,,,,
1.1,"Riverine, Sector-44 Noida",,,,,,,,2022-04-30,2031-04-19,,,,,
1.1.1,Project Snapshot,,,,,,,,2025-01-18,2030-01-17,,,,,
1.1.1.1,Intermediate milestones,,,,,,,,2025-12-01,2029-10-30,,,,,
1.1.1.1.1,Removal of soldier piles,,,,,,,0.0,2028-02-03,2028-02-03,,,,,0
1.1.1.1.2,Tower-1 -Completion of Raft,,,,,,,0.0,2025-12-01,2025-12-01,,,,,0
1.1.1.1.3,Tower-1 -Completion of 12th Floor Slab,,,,,,,0.0,2026-09-11,2026-09-11,,,,,0
1.1.1.1.4,Tower-1 -Completion of 20th Floor Slab,,,,,,,0.0,2027-02-05,2027-02-05,,,,,0
1.1.1.1.5,Tower-1 -Terrace Completion,,,,,,,0.0,2027-04-07,2027-04-07,,,,,0
1.1.1.1.6,Tower-1 -Plaster Completion,,,,,,,0.0,2027-07-27,2027-07-27,,,,,0
1.1.1.1.7,Tower-1 -Flooring Completion,,,,,,,0.0,2027-10-14,2027-10-14,,,,,0
1.1.1.1.8,Tower-1 -Lift Installation,,,,,,,0.0,2027-07-23,2027-07-23,,,,,0
1.1.1.1.9,Tower-1 -OC Application,,,,,,,0.0,2028-01-06,2028-01-06,,,,,0
1.1.1.1.10,Tower -1 - Intimation of Possession,,,,,,,0.0,2028-07-05,2028-07-05,,,,,0
1.1.1.1.11,Tower-2 -Completion of Raft,,,,,,,0.0,2025-12-01,2025-12-01,,,,,0
1.1.1.1.12,Tower-2 -Completion of 12th Floor Slab,,,,,,,0.0,2026-09-02,2026-09-02,,,,,0
1.1.1.1.13,Tower-2 -Terrace Completion,,,,,,,0.0,2027-03-29,2027-03-29,,,,,0
1.1.1.1.14,Tower-2 -Plaster Completion,,,,,,,0.0,2027-08-09,2027-08-09,,,,,0
1.1.1.1.15,Tower-2 -Flooring Completion,,,,,,,0.0,2027-10-06,2027-10-06,,,,,0
1.1.1.1.16,Tower-2 -Lift Installation,,,,,,,0.0,2027-07-15,2027-07-15,,,,,0
1.1.1.1.17,Tower-2 -OC Application,,,,,,,0.0,2028-01-13,2028-01-13,,,,,0
1.1.1.1.18,Tower -2 - Intimation of Possession,,,,,,,0.0,2028-07-12,2028-07-12,,,,,0
1.1.1.1.19,Tower-3 -Completion of Raft,,,,,,,0.0,2025-12-01,2025-12-01,,,,,0
1.1.1.1.20,Tower-3 -Completion of 12th Floor Slab,,,,,,,0.0,2026-10-03,2026-10-03,,,,,0
1.1.1.1.21,Tower-3 -Completion of 20th Floor Slab,,,,,,,0.0,2027-02-24,2027-02-24,,,,,0
1.1.1.1.22,Tower-3 -Terrace Completion,,,,,,,0.0,2027-04-16,2027-04-16,,,,,0
1.1.1.1.23,Tower-3 -Plaster Completion,,,,,,,0.0,2027-08-31,2027-08-31,,,,,0
1.1.1.1.24,Tower-3 -Flooring Completion,,,,,,,0.0,2027-10-23,2027-10-23,,,,,0
1.1.1.1.25,Tower-3 -Lift Installation,,,,,,,0.0,2027-08-11,2027-08-11,,,,,0
1.1.1.1.26,Tower-3 -OC Application,,,,,,,0.0,2028-01-20,2028-01-20,,,,,0
1.1.1.1.27,Tower -3 - Intimation of Possession,,,,,,,0.0,2028-07-19,2028-07-19,,,,,0
1.1.1.1.28,Tower-4 -Completion of Raft,,,,,,,0.0,2026-03-04,2026-03-04,,,,,0
1.1.1.1.29,Tower-4 -Completion of 12th Floor Slab,,,,,,,0.0,2027-04-08,2027-04-08,,,,,0
1.1.1.1.30,Tower-4 -Completion of 18th Floor Slab,,,,,,,0.0,2027-06-22,2027-06-22,,,,,0
